name,bank,target_price,date
BRUNELLO CUCINELLI,Berenberg,125.0,2025-09-01
MEDIOBANCA,Banca Akros,20.0,2025-09-01
PRYSMIAN,Goldman Sachs,90.0,2025-09-01
BUZZI,Morgan Stanley,53.0,2025-09-02
FERRARI,Deutsche Bank,520.0,2025-09-02
INTESA SANPAOLO,Morgan Stanley,6.6,2025-09-02
SAIPEM,Jp Morgan,2.83,2025-09-02
ENI,Morgan Stanley,14.6,2025-09-03
MEDIOBANCA,Deutsche Bank,18.8,2025-09-03
MONCLER,Barclays,56.0,2025-09-03
STMICROELECTRONICS,Citigroup,27.0,2025-09-04
UNIPOL,Barclays,18.5,2025-09-04
CAMPARI,Jefferies,6.6,2025-09-08
BANCO BPM,Jp Morgan,12.0,2025-09-09
INTESA SANPAOLO,Jp Morgan,6.5,2025-09-09
LEONARDO,Barclays,51.0,2025-09-09
PRYSMIAN,HSBC,87.0,2025-09-09
UNICREDIT,Jp Morgan,80.0,2025-09-09
AZIMUT,Equita sim,31.5,2025-09-10
CAMPARI,Deutsche Bank,5.9,2025-09-10
NEXI,Barclays,4.1,2025-09-10
BUZZI,Jp Morgan,54.0,2025-09-11
MONCLER,Barclays,55.0,2025-09-11
PRYSMIAN,Jp Morgan,86.0,2025-09-11
PRYSMIAN,Citigroup,91.0,2025-09-12
STELLANTIS,Banca Akros,9.5,2025-09-12
BRUNELLO CUCINELLI,Jp Morgan,125.0,2025-09-15
CAMPARI,RBC Capital,5.8,2025-09-15
FERRARI,Berenberg,484.0,2025-09-16
FERRARI,Mediobanca,486.0,2025-09-16
MONCLER,Citigroup,58.6,2025-09-16
DIASORIN,UBS,98.0,2025-09-17
AZIMUT,IntesaSanpaolo,33.7,2025-09-18
PRYSMIAN,Jp Morgan,87.0,2025-09-18
BANCO BPM,Kepler Cheuvreux,11.7,2025-09-19
LEONARDO,Goldman Sachs,50.0,2025-09-19
STELLANTIS,Berenberg,9.5,2025-09-19
UNIPOL,Barclays,19.0,2025-09-19
BANCO BPM,Mediobanca,11.8,2025-09-22
BPER BANCA,Mediobanca,10.9,2025-09-22
ENI,Jp Morgan,16.5,2025-09-23
FERRARI,Bank of America ML,496.0,2025-09-23
ITALGAS,RBC Capital,9.0,2025-09-23
MONCLER,Equita sim,60.0,2025-09-23
MONCLER,UBS,52.0,2025-09-23
SNAM,RBC Capital,5.15,2025-09-23
TERNA,RBC Capital,9.6,2025-09-23
STELLANTIS,Jefferies,11.0,2025-09-24
BANCO BPM,Goldman Sachs,15.7,2025-09-25
CAMPARI,UBS,6.3,2025-09-25
CAMPARI,Equita sim,7.8,2025-09-25
ENI,Berenberg,14.0,2025-09-25
INTESA SANPAOLO,Goldman Sachs,6.0,2025-09-25
SAIPEM,UBS,3.0,2025-09-25
BRUNELLO CUCINELLI,ODDO BHF,83.0,2025-09-26
MONCLER,Mediobanca,53.0,2025-09-26
MONCLER,UBS,52.5,2025-09-29
